Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Рулетики из кабачка с цыплёнком и сыром,128.3 кКал,9.1 г,7.9 г,5.5 г,"Кабачок (Жарка): 223 г, Оливковое масло: 20 г, Яйцо куриное (Жарка): 51 г, Грудка цыплёнка жареная 8 августа 2023 г: 60 г, Сыр Лёгкий 35% [Брест Литовск]: 40 г, Помидор (томат), парниковый: 50 г, Пшеничная мука, первого сорта (Жарка): 17 г, Соль поваренная пищевая: 4 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г"
Слоеный ролл,143.2 кКал,16.9 г,7.5 г,4 г,"Листы Нори для суши: 3 г, Сыр рикотта 10,2% жирности, из цельного молока, м.д.ж. 39% в сух. в-ве: 25 г, Горбуша: 50 г, Соль поваренная пищевая: 1.5 г"
Печенье творожное без глютена и сахара,300.5 кКал,15.5 г,11 г,35 г,"Творог 6% [Минская Марка]: 120 г, Мука Рисовая [Garnec]: 100 г, Яйцо С1 [Глобус]: 50 г, Кокосовая Стружка [Каждый День]: 20 г, Разрыхлитель Теста [Dr. Oetker]: 4 г, Сахарозаменитель [Prebio Sweet]: 6 г"
Чечевица с перцем,86.8 кКал,5.7 г,0.5 г,13 г,"Чечевица, розовая: 100 г, Перец сладкий красный: 120 г, Соль поваренная пищевая: 1 г, Вода: 250 г"
Ленивые голубцы,94.4 кКал,7.6 г,4.2 г,6.5 г,"Куриный фарш: 1100 г, Капуста белокочанная (Припускание): 700 г, Морковь (Пассерование): 150 г, Лук репчатый (Пассерование): 150 г, Яйцо куриное (Запекание): 2 Штука, Томатная паста. Консервы: 60 г, Масло сливочное 72,5% жирности, крестьянское: 40 г, Пшеничная мука, высшего сорта (Варка без слива): 50 г, Рис белый, крупа рисовая (Варка без слива рассыпчатая): 150 г, Вода: 300 г, Вода: 350 г"
Молочно- творожный  мусс,49.5 кКал,10.8 г,0.7 г,3 г,"Творог обезжиренный: 170 г, Ванилин: 0.5 г, Молоко 1,5% жирности, пастеризованное: 150 г, Фитпарад 5: 5 г"
Куринное филе под сыром,146.2 кКал,24.2 г,5 г,0.9 г,"Куриная грудка (филе) (Запекание): 600 г, Лук репчатый (Запекание): 20 г, Соль поваренная пищевая: 2 г, Паприка, перец сладкий молотый: 0.5 г, Чеснок, порошок: 1 г, Шампиньоны (Запекание): 30 г, Сметана 20% жирности (Запекание): 40 г, Сыр литовский, м.д.ж. 30% в сух. в-ве: 100 г"
"Салат с креветкой, авокадо и сыром",95 кКал,11.1 г,4.2 г,2.6 г,"Айсберг (салат кочанный): 60 г, Тигровая креветка: 160 г, Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве: 30 г, Огурец грунтовый: 60 г, Соус с натуральным йогуртом и приправой для салата Цезарь.: 60 г, Авокадо: 60 г"
"Салат с креветкой, помидором и огурцом",46.6 кКал,7.5 г,0.4 г,3.2 г,"Айсберг (салат кочанный): 60 г, Соус с натуральным йогуртом и приправой для салата Цезарь.: 60 г, Огурец грунтовый: 80 г, Помидор (томат), грунтовый: 80 г, Перец сладкий зеленый: 60 г, Тигровая креветка: 160 г"
Чай с  дыней,13.8 кКал,0.3 г,0.1 г,2.8 г,"Чай (сухая заварка): 2 г, Вода: 250 г, Дыня: 150 г"
Патиссоны в сырно-чесночном кляре,159.9 кКал,7.1 г,11.1 г,8.1 г,"Патиссон (Жарка): 127 г, Ржаная мука, обойная (Жарка): 17 г, Оливковое масло: 10 г, Соль поваренная пищевая: 1 г, Яйцо куриное (Жарка): 47 г, Сыр Лёгкий 35% [Брест Литовск]: 17 г, Сметана 15% жирности: 30 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Сок томатный: 17 г, Чеснок (Жарка): 1 г"
Белково-йогуртовое суфле с белым нектарином и ежевикой,52.5 кКал,6.7 г,1 г,3.9 г,"Яичный белок куриный: 260 г, Эритрит: 135 г, Молоко 1,5% жирности, пастеризованное: 150 г, Простокваша 2,5% жирности: 340 г, Нектарин: 227 г, Сахарозаменитель: эритрит + стевия: 10 г, Желатин пищевой: 45 г, Ежевика: 150 г"
"Салат с лососем, палтусом и морепродуктами",134 кКал,14 г,7.6 г,2.2 г,"Руккола: 70 г, Соевый соус: 10 г, Креветки тигровые отварные ""Алька"": 90 г, Гребешки филе отварное ""Алька"": 60 г, Помидор (томат), грунтовый: 60 г, Авокадо: 60 г, Кедровый орех, сушеный: 20 г, Сыр Тет де Муан,Швейцария: 20 г, Семга с/с мурманская,филе,стейки: 90 г, Палтус белокорый: 60 г"
"Запеканка из творога, зелёного лаваша, с укропом",140.8 кКал,14 г,5.8 г,8.4 г,"Яйцо куриное (Запекание): 48 г, Лаваш армянский тонкий (пшеничная мука 1 сорта): 15 г, Творог обезжиренный: 50 г, Молоко 2,5% жирности, пастеризованное (Запекание): 37 г, Сыр Лёгкий 35% [Брест Литовск]: 17 г, Соль поваренная пищевая: 0.5 г, Укроп: 3 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Горчица столовая: 1 г, Чеснок: 1 г"
Капустные оладьи,170.2 кКал,5.1 г,7.7 г,19.7 г,"Капуста белокочанная (Жарка): 203 г, Морковь (Жарка): 124 г, Подсолнечное масло: 39 г, Кефир 3,2% жирности (Жарка): 345 г, Яйцо куриное (Жарка): 57 г, Пшеничная мука, высшего сорта (Жарка): 170 г, Сода пищевая, разрыхлитель для выпечки: 2 г, Сахар песок: 5 г, Базилик, сушеный: 1 г"
Кекс творожный,261.4 кКал,17.5 г,14.2 г,15.4 г,"Творог 5% жирности (Запекание): 380 г, Яйцо куриное (Запекание): 213 г, Овсяные хлопья ""геркулес"" (Запекание): 100 г, Пшеничная мука, высшего сорта (Запекание): 50 г, Подсолнечное масло: 50 г"
Банановые блинчики,156.3 кКал,6.5 г,5.7 г,19.2 г,"Яйцо куриное (Жарка): 60 г, Банан (Жарка): 2 Штука, Йогурт 6% жирности, 5% белка, натуральный: 170 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 5 г, Пшеничная мука, высшего сорта (Жарка): 70 г, Ванильный экстракт, искуственный, без алкоголя: 2 г"
Сырники без сахара,165.1 кКал,21.9 г,4.8 г,7.8 г,"Творог обезжиренный, 0,6% жирности (Жарка): 400 г, Яйцо куриное (Жарка): 50 г, Соль поваренная пищевая: 2 г, Пшеничная мука, высшего сорта (Жарка): 26 г, Ванилин: 2.5 г, Подсолнечное масло: 5 г, Масло сливочное 72,5% жирности, крестьянское: 10 г"
Патиссон фаршированный шампиньонами,88.3 кКал,5.9 г,5.6 г,3.5 г,"Патиссон (Запекание): 176 г, Оливковое масло: 5 г, Лук репчатый (Жарка): 41 г, Морковь (Жарка): 21 г, Помидор (томат), парниковый (Жарка): 30 г, Шампиньоны (Жарка): 107 г, Сыр Лёгкий 35% [Брест Литовск]: 19 г, Яйцо куриное (Запекание): 49 г, Молоко 2,5% жирности, пастеризованное (Запекание): 16 г, Яйцо куриное (Запекание): 49 г, Горошек зелёный, замороженный: 16 г, Сметана 15% жирности: 30 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Соль поваренная пищевая: 1 г"
Телятина тушеная с базиликом и зеленью лука и петрушки,123.1 кКал,19.8 г,4.2 г,1.5 г,"Телятина, тазобедренная часть (Тушение): 700 г, Лук репчатый (Тушение): 110 г, Базилик, свежий: 40 г, Лук зеленый (перо) (Тушение): 30 г, Петрушка свежая (Тушение): 10 г, Соль поваренная пищевая: 2 г, Вода: 150 г, Оливковое масло: 20 г"
"Салат с форелью, креветками с тыквенным маслом",126.5 кКал,8.5 г,9 г,2.5 г,"Салат (латук): 50 г, Помидор (томат), грунтовый: 100 г, Огурец грунтовый: 60 г, Перец сладкий зеленый: 60 г, Оливковое масло: 14 г, Петрушка свежая: 10 г, Авокадо: 60 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 110 г, Форель с/с атлантическая: 80 г, Кедровый орех, сушеный: 20 г, Базилик, свежий: 3 г"
Икра из жёлтого кабачка с луковыми колечками и проростками редиса,85.4 кКал,1.2 г,3.2 г,12.9 г,"Кабачок (Жарка): 331 г, Соль поваренная пищевая: 1 г, Сахар песок: 10 г, Помидор (томат), парниковый (Жарка): 32 г, Лук репчатый (Жарка): 11 г, Оливковое масло: 5 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г"
Апероль Шприц,129 кКал,0.4 г,0 г,15.1 г,"Вина ликерные: 200 г, Газированный напиток, тоник: 40 г, Вина полусухие белые и красные (в т. ч. шампанское): 200 г, Апельсин: 30 г"
Вафли творожные,237.1 кКал,13.5 г,9.2 г,24.8 г,"Творог 9% жирности (Запекание): 440 г, Сметана 25% жирности: 55 г, Подсолнечное масло: 5 г, Сахар песок: 70 г, Яйцо куриное: 280 г, Сода пищевая, разрыхлитель для выпечки: 9 г, Кукурузный крахмал: 20 г, Соль поваренная пищевая: 3 г, Пшеничная мука, высшего сорта: 200 г, Сахар, пудра: 5 г"
Творожное мороженое,108.2 кКал,10.9 г,2 г,10.7 г,"Творог обезжиренный, 0,6% жирности: 100 г, Банан: 2 Штука, Йогурт 1,5% жирности, 4,1% белка, натуральный: 1 Стакан 250 мл, Белковая добавка, на основе молока, Muscle Milk Light, порошок: 50 г"
"Макароны с котлетой, огурцами и луком",0 кКал,0 г,0 г,0 г,"Паста (макароны, спагетти), сухая: 200 г, Говядина, фарш, 85% постного мяса/ 15% жира, сырая: 150 г, Лук репчатый: 100 г, Огурец парниковый: 100 г, Томатная паста. Консервы: 10 г"
Круассан с огурцом и яйцом,204.7 кКал,8.4 г,12.9 г,12.8 г,"Круассаны, сливочные: 72 г, Яйцо куриное вареное вкрутую: 60 г, Огурец грунтовый: 48 г, Айсберг (салат кочанный): 25 г, Руккола: 3 г, Сыр намазка: 30 г, Брынза из коровьего молока, м.д.ж. 40% в сух. в-ве: 30 г"
"Салат из патиссон с яйцом, луком, машем, проростками редиса",74.6 кКал,4.4 г,4.5 г,4.3 г,"Патиссон: 153 г, Лук сладкий, сырой: 27 г, Сметана 15% жирности: 50 г, Горчица столовая: 1 г, Кетчуп: 10 г, Соль поваренная пищевая: 1 г, Перец черный,  молотый или горошек: 0.2 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Яичный желток куриный (Варка): 24 г, Яичный белок куриный (Варка): 76 г"
Кабачковые оладьи с сыром,206.1 кКал,9.3 г,13.6 г,11.6 г,"Кабачок (Жарка): 304 г, Яйцо куриное (Жарка): 1 С0, Сыр гауда, твёрдый голландский сыр, м.д.ж. 47% в сух. в-ве: 83 г, Овсяная мука (Жарка): 50 г, Подсолнечное масло: 20 г"
"Икра из кабачка,  репчатого  лука, с проростками редиса",99.5 кКал,1.3 г,6 г,10.2 г,"Кабачок (Жарка): 300 г, Лук репчатый (Жарка): 100 г, Оливковое масло: 15 г, Кетчуп: 25 г, Соль поваренная пищевая: 3 г, Сахар песок: 3 г, Уксус столовый 9%: 3 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Перец черный,  молотый или горошек: 0.2 г"
"Блинчик с креветкой, творожным сливочным сыром и авокадо под устричным соусом",173.9 кКал,7.4 г,11.9 г,8.8 г,"Блинчики ""Алька"": 40 г, Креветки припущенные с имбирем,чесноком с кунжутным маслом: 50 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 30 г, Авокадо: 50 г"
Суп овощной с куриной грудкой,31.3 кКал,4.6 г,0.5 г,2 г,"Бульон куриный с овощами  ""Алька"": 1000 г, Куриная грудка (филе) (Варка): 140 г, Морковь (Варка без слива): 50 г, Лук репчатый (Варка без слива): 20 г, Перец сладкий зеленый (Варка без слива): 80 г, Цветная капуста (Варка без слива): 100 г, Брокколи (Варка без слива): 100 г, Помидор (томат), грунтовый (Варка без слива): 70 г, Петрушка свежая (Варка без слива): 10 г"
Запеканка из капусты - цветной и брокколи,78.7 кКал,5 г,4.7 г,3.7 г,"Цветная капуста отварная по 1-210: 450 г, Брокколи, вареная, с солью: 255 г, Шампиньоны (Жарка): 316 г, Лук репчатый (Припускание): 47 г, Чеснок (Припускание): 10 г, Яйцо куриное (Запекание): 385 г, Молоко 2,5% жирности, пастеризованное (Запекание): 295 г, Рисовая мука, белая: 16 г, Вода: 35 г, Подсолнечное масло: 16 г, Масло сливочное 72,5% жирности, крестьянское: 16 г, Укроп (Запекание): 20 г, Зелень кориандра (кинза), сырая: 16 г, Соль поваренная пищевая: 1 г, Перец черный,  молотый или горошек: 0.5 г, Орегано, сушеный: 1 г"
Суп сырный Дружба,107.7 кКал,5.7 г,6.6 г,6.4 г,"Бульон куриный с овощами  ""Алька"": 1000 г, Картофель (Варка без слива): 450 г, Морковь (Варка без слива): 100 г, Лук репчатый (Припускание): 100 г, Сыр плавленный (мягкий спред) американский, 21,2% жирности, м.д.ж. 41% в сух. в-ве: 130 г, Сыр плавленый, российский, м.д.ж. 45% в сух. в-ве: 170 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 20 г, Оливковое масло: 20 г"
Икра из патиссон,79.4 кКал,1 г,4.1 г,10 г,"Патиссон (Жарка): 400 г, Оливковое масло: 15 г, Кетчуп: 25 г, Соль поваренная пищевая: 4 г, Сахар песок: 12 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Лук репчатый (Жарка): 30 г, Морковь (Жарка): 30 г, Перец сладкий красный (Тушение): 30 г"
Суп с Лисичками и сыром,28.7 кКал,0.7 г,1.8 г,2.4 г,"Вода водопроводная, городская: 600 г, Морковь (Жарка): 80 г, Картофель (Варка без слива): 110 г, Лук репчатый (Жарка): 30 г, Лисички (Жарка): 240 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 20 г, Соль поваренная пищевая: 3 г"
"Блинчик с форелью, авокадо, сливочным сыром, огурчиком",148.3 кКал,8.4 г,9.5 г,6.2 г,"Блинчики ""Алька"": 41 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 30 г, Авокадо: 60 г, Форель с/с атлантическая: 80 г, Огурец грунтовый: 50 г, Базилик, свежий: 3 г, Сок лимонный: 5 г, Перец черный,  молотый или горошек: 1 г"
Салат с помидором и базиликом,107.2 кКал,2.8 г,9.2 г,2.9 г,"Помидор (томат), грунтовый: 195 г, Огурец грунтовый: 40 г, Айсберг (салат кочанный): 130 г, Сыр фета, м.д.ж. 48% в сух. в-ве: 68 г, Оливки (маслины чёрные). Консервы: 30 г, Оливки зеленые, маринованные, консервированные: 20 г, Базилик, свежий: 24 г, Оливковое масло: 26 г, Соль поваренная пищевая: 0.3 г, Перец черный,  молотый или горошек: 0.3 г, Сок лимонный: 1 г"
"Перец, фаршированный индейкой и перловкой, в томатном соке",77.9 кКал,7.9 г,0.8 г,9.5 г,"Перец сладкий зеленый (Мытьё, нарезка): 1700 г, Индейка, только мясо: 800 г, Перловая крупа (Варка без слива вязкая): 200 г, Лук репчатый (Мытьё, нарезка): 200 г, Томатное пюре. Консервы: 100 г, Соль поваренная пищевая: 12 г, Перец душистый, молотый: 5 г, Лавровый лист: 1 г, Томатный сок с солью, консервированный: 1000 г"
Патиссоны в кунжутном кляре с помидорами и сыром,73.5 кКал,3.1 г,3.9 г,6.6 г,"Кунжут: 10 г, Яйцо куриное (Жарка): 45 г, Соль поваренная пищевая: 1 г, Рисовая мука, белая: 10 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Патиссон (Жарка): 300 г, Помидор (томат), парниковый: 95 г, Сметана 15% жирности: 30 г, Чеснок (Жарка): 1 г"
Печенье овсяное,424.9 кКал,13.1 г,25.7 г,35.4 г,"Грецкий орех: 100 г, Овсяные хлопья ""геркулес"" (Жарка): 200 г, Пшеничная мука, высшего сорта (Запекание): 100 г, Яйцо куриное (Запекание): 3 С0, Молоко 2,5% жирности, пастеризованное (Запекание): 100 г, Подсолнечное масло: 50 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 1 tsp, Соль поваренная пищевая: 2.5 г"
Суп пюре овощной с артишоками,20.2 кКал,1.3 г,0.1 г,2.8 г,"Артишок: 700 г, Вода: 1900 г, Цветная капуста (Варка без слива): 320 г, Брокколи (Варка без слива): 100 г, Картофель (Варка без слива): 140 г, Морковь (Варка без слива): 160 г"
Интерпритация Паста  болнезе с чечевичными макаронами,131 кКал,16.6 г,2.6 г,9.9 г,"Лук репчатый (Тушение): 33 г, Подсолнечное масло: 10 г, Куриная грудка (филе) (Тушение): 400 г, Перец сладкий зеленый (Тушение): 30 г, Перец черный,  молотый или горошек: 1 г, Соль поваренная пищевая: 4 г, Помидоры (томаты), консервированные, в томатном соке: 220 г, Чечевица, зерно (Варка): 155 г, Чеснок (Тушение): 5 г"
"Котлетки из патиссонов, картофеля, моркови",99.8 кКал,1.6 г,5.4 г,11.2 г,"Картофель (Жарка): 100 г, Патиссон (Жарка): 100 г, Оливковое масло: 10 г, Морковь (Жарка): 45 г, Соль поваренная пищевая: 0.7 г, Паприка, перец сладкий молотый: 0.2 г, Куркума, молотая: 0.2 г"
Банановые вафли,376 кКал,15.2 г,3.4 г,67.9 г,"Банан: 100 г, Кефир 2,5% жирности (Запекание): 76 г, Вода водопроводная, городская: 63 г, Мука полбяная: 100 г, Ванилин: 0.5 г, Пищевая сода: 1 г, Подсолнечное масло: 1 г"
Творожно сырные вафли,205.6 кКал,17.2 г,9.4 г,12.8 г,"Творог 5% жирности (Запекание): 150 г, Брынза из коровьего молока, м.д.ж. 40% в сух. в-ве: 60 г, Сыр моцарелла, низкой влажности, тёртый, м.д.ж. 36% в сух. в-ве: 55 г, Яйцо куриное (Запекание): 110 г, Пшеничная мука, высшего сорта (Запекание): 70 г, Лук зеленый (перо) (Запекание): 35 г"
"Салат с малосольной форелью, рукколой и микрозеленью подсолнечника",119 кКал,11.2 г,7.2 г,2 г,"Алькина форель: 70 г, Руккола: 30 г, Яйцо куриное (Жарка): 2 Штука, Молоко 2,5% жирности, стерилизованное (Жарка): 30 г, Микрозелень подсолнечника: 25 г, Соевый соус: 5 г, Оливковое масло: 2 г, Помидор (томат), грунтовый: 20 г, Огурец соленый: 60 г, Творог 4% жирности: 40 г, Сливки 10% жирности. стерилизованные: 15 г, Сыр российский, м.д.ж. 50% в сух. в-ве: 20 г, Конопля, семя сушеное лущёное: 2 г"
Окрошка с индейкой на кефире и квасе,62.7 кКал,4.1 г,2.7 г,4.8 г,"Индейка, отварная, по 2-6: 300 г, Огурец грунтовый (Мытьё, нарезка): 300 г, Картофель (Варка в кожуре): 300 г, Яйцо куриное вареное вкрутую: 150 г, Редис (Мытьё, нарезка): 100 г, Лук зеленый (перо) (Мытьё, нарезка): 50 г, Укроп (Мытьё, нарезка): 30 г, Петрушка свежая (Мытьё, нарезка): 30 г, Горчица столовая: 15 г, Хрен, соус приготовленный: 30 г, Соль поваренная пищевая: 15 г, Кефир 1% жирности: 1000 г, Квас хлебный: 1000 г"
Борщ вегетарианский с булгуром,35.6 кКал,0.9 г,1.2 г,5.1 г,"Булгур, крупа: 10 г, Картофель (Варка без слива): 180 г, Лук репчатый (Жарка): 30 г, Оливковое масло: 5 г, Морковь (Варка без слива): 10 г, Свекла (Варка без слива): 60 г, Свеклы листья (ботва свекольная): 10 г, Соль поваренная пищевая: 3 г, Сахар песок: 2 г, Перец сладкий красный (Варка без слива): 10 г, Вода: 1000 г, Укроп: 10 г, Базилик, свежий: 1 г, Руккола: 3 г, Сметана 15% жирности: 30 г, Уксус яблочный: 17 г"
Скумбрия запечённая с овощами и  сыром,156.6 кКал,8.7 г,8.8 г,10.8 г,"Лук репчатый (Жарка): 67 г, Оливковое масло: 10 г, Морковь (Жарка): 67 г, Перец сладкий красный (Запекание): 67 г, Помидор (томат), парниковый (Запекание): 67 г, Картофель (Запекание): 390 г, Скумбрия дальневосточная (Запекание): 242 г, Сыр плавленный (мягкий спред) 22% жирности KRAFT VELVEETA, м.д.ж. 41% в сух. в-ве: 67 г, Паприка, перец сладкий молотый: 1 г, Куркума, молотая: 1 г, Соль поваренная пищевая: 3 г, Вода: 200 г, Перец черный,  молотый или горошек: 1 г"
Бисквит Брауни,137.5 кКал,7.6 г,5.4 г,14 г,"Банан: 165 г, Какао-порошок: 40 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, натрий, сульфат алюминия (Е-520): 3 г, Яйцо куриное: 75 г, Соль поваренная пищевая: 3 г"
Патиссоны фаршированные мясом запечённые  в духовке,91.2 кКал,5.4 г,3.5 г,9.4 г,"Патиссон (Запекание): 272 г, Гуляш из баранины: 134 г, Лук репчатый: 112 г, Морковь (Запекание): 53 г, Рис Самарканд по-узбекски: 34 г, Эстрагон (тархун), зелень свежая: 39 г, Укроп: 20 г, Чеснок: 12 г, Перец чили красный острый: 6 г, Зира, семена: 4 г, Орегано, сушеный: 2 г, Розмарин Kotanyi нарезанный сухой: 2 г, Базилик, сушеный: 2 г, Зелень кориандра (кинза), сырая: 34 г"
Баклажаны фаршированные мясом по-турецки,145.6 кКал,6.9 г,10.8 г,4.9 г,"Баклажан (Запекание): 404 г, Гуляш из баранины: 322 г, Помидор (томат), грунтовый (Запекание): 224 г, Лук репчатый (Запекание): 146 г, Эстрагон (тархун), зелень свежая: 48 г, Перец чили красный острый (Запекание): 32 г, Оливковое масло: 30 г, Хлопковое масло: 28 г, Чеснок (Запекание): 22 г, Петрушка свежая (Запекание): 21 г, Мята перечная, свежая: 8 г, Зира, семена: 4 г, Орегано, сушеный: 2 г, Базилик, сушеный: 2 г, Розмарин, сушеный: 2 г, Чабер, молотый: 2 г, Шалфей, молотый: 2 г, Мускатный орех, молотый: 2 г"
Сырники из козьего творога,324.6 кКал,19.4 г,9.3 г,39.9 г,"Пшеничная мука высшего сорта из мягкой пшеницы (Жарка): 300 г, Творог 9% жирности (Жарка): 575 г, Яйцо куриное (Жарка): 45 г, Сахар песок: 51 г, Масло сливочное 72,5% жирности, крестьянское: 10 г, Пищевая сода: 1 г"
Сырники,158.9 кКал,14.3 г,5.2 г,13.9 г,"Творог 5% ""Свежее завтра"": 400 г, Яйцо куриное: 75 г, Мука пшеничная хлебопекарная высший сорт ""Предпортовая"": 80 г, Сахар песок: 10 г, Соль поваренная пищевая: 5 г"
"Салат с тыквенным маслом ,сыром Тет де Муан и кедровыми орешками",110.5 кКал,3.5 г,9.3 г,3.3 г,"Айсберг (салат кочанный): 60 г, Оливковое масло: 15 г, Помидор (томат), грунтовый: 90 г, Огурец грунтовый: 80 г, Перец сладкий зеленый: 60 г, Базилик, свежий: 20 г, Петрушка свежая: 10 г, Кедровый орех, сушеный: 15 г, Сыр Тет де Муан,Швейцария: 30 г"
Кабачковые блинчики на рисовой муке и крахмале,134.2 кКал,3.4 г,3.4 г,21.6 г,"Кабачок (Жарка): 280 г, Яйцо куриное (Жарка): 55 г, Укроп (Жарка): 3 г, Соль поваренная пищевая: 2 г, Кукурузный крахмал: 30 г, Рисовая мука, белая: 60 г, Сметана 15% жирности: 30 г, Паприка, перец сладкий молотый: 0.2 г, Куркума, молотая: 0.2 г, Оливковое масло: 1 г"
Рулет из скумбрии запечённый  с овощами,89.2 кКал,5.4 г,4.2 г,7.7 г,"Скумбрия дальневосточная (Запекание): 90 г, Кабачок (Запекание): 100 г, Помидор (томат), парниковый (Запекание): 70 г, Перец венгерский: 70 г, Лук репчатый (Запекание): 41 г, Картофель (Запекание): 100 г, Соль поваренная пищевая: 2 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г"
Борщ с птицей и красной фасолью,35.7 кКал,3.3 г,0.4 г,4.3 г,"Индейка, только мясо: 500 г, Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости, промытая водой: 230 г, Томатная паста. Консервы: 270 г, Морковь (Варка без слива): 130 г, Свекла (Варка без слива): 330 г, Картофель (Варка без слива): 470 г, Укроп (Мытьё, нарезка): 20 г, Петрушка свежая (Мытьё, нарезка): 20 г, Капуста белокочанная (Варка без слива): 800 г, Вода водопроводная, городская: 3000 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 5 г, Перец черный,  молотый или горошек: 0.5 г, Перец красный молотый острый: 0.2 г, Соль поваренная пищевая: 10 г"
Торт Битое стекло,175.1 кКал,3.2 г,8.8 г,20.8 г,"Нектарин: 700 г, Виноград: 400 г, Торт бисквитный с шоколадным кремом: 400 г, Кефир 2,5% жирности: 300 г, Сметана 25% жирности: 400 г, Желатин пищевой: 20 г, Сахар песок: 4 Столовая ложка (&quo..., Сырок творожный сладкий 23% жирности, неглазированный: 300 г"
Запеканка творожная в гриле/духовке,124 кКал,14.1 г,3.6 г,8.9 г,"Творог 3% [Брест Литовск]: 451 г, Кефір 1% [Молокія]: 274 г, Яйцо куриное: 101 г, Яичный белок куриный: 80 г, Пшеничная мука, высшего сорта: 78 г, Заменитель Сахара [Fit Parad]: 10 г"
"Рис с консервированной кукурузой, луком и морковью",125.1 кКал,2.3 г,3.4 г,20.7 г,"Рис белый длиннозерный, приготовленный с солью: 300 г, Кукуруза сахарная желтая, консервированная, содержимое с жидкостью: 100 г, Лук репчатый (Припускание): 50 г, Морковь (Припускание): 50 г, Подсолнечное масло высокоолеиновое (70% и более): 15 г"
Брауни с черешней,143 кКал,16.6 г,4.8 г,7.3 г,"Творог 2% жирности (Запекание): 253 г, Черешня: 112 г, Яйцо куриное (Запекание): 1 С1, Какао-порошок: 25 г, Яичный белок куриный (Запекание): 1 С0, Шоколад горький: 14 г"
"Салат овощной с лимонным маслом, авокадо и морепродуктами",109.2 кКал,7.1 г,7.6 г,2.6 г,"Айсберг (салат кочанный): 180 г, Огурец грунтовый: 60 г, Помидор (томат), грунтовый: 80 г, Перец сладкий красный: 80 г, Оливковое масло: 30 г, Петрушка свежая: 20 г, Авокадо: 100 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 100 г, Гребешки филе отварное ""Алька"": 60 г, Семга с/с мурманская,филе,стейки: 80 г"
Мисо суп с белыми грибами,55.6 кКал,5.6 г,2.7 г,1.8 г,"Бульон рыбный: 2000 г, Морские водоросли вакаме, сырые: 12 г, Лук порей (луковица и нижняя часть зелени): 170 г, Мисо: 50 г, Яйцо куриное вареное вкрутую: 220 г, Шампиньоны (Жарка): 500 г"
Индокуриные котлетки,135.5 кКал,19.9 г,5.6 г,1.1 г,"Куриный фарш: 400 г, Фарш из индейки, обезжиренный, 1.95% жира: 400 г, Соль поваренная пищевая: 10 г, Куркума, молотая: 6 г, Чеснок (Жарка): 20 г, Соевое масло: 5 г, Горчица желтая, семена: 3 г, Базилик, сушеный: 1 г, Перец черный,  молотый или горошек: 1 г, Перец красный молотый острый: 1 г, Перец душистый, молотый: 1 г, Перец белый: 1 г, Перец чили, пасилья, сушеный: 1 г"
Морковные кексы,310 кКал,6.8 г,16 г,34.8 г,"Морковь (Запекание): 220 г, Яйцо куриное (Запекание): 110 г, Пшеничная мука цельнозерновая: 110 г, Масло авокадо: 60 г, Кокосовый Сахар [King Island]: 80 г, Какао-порошок: 5 г, Корица, молотая: 2 г, Имбирь, крень сушеный молотый: 0.3 г, Мускатный орех, молотый: 0.3 г, Сода пищевая, разрыхлитель для выпечки: 1 tsp"
"Салат с палтусом, сыром Тет де Муан и оливковым маслом со свежим базиликом",153.4 кКал,7.4 г,12.6 г,2.3 г,"Салат овощной с оливковым маслом со свежим базиликом: 250 г, Палтус белокорый: 80 г, Сыр Тет де Муан,Швейцария: 25 г, Кедровый орех, сушеный: 15 г"
